name,service_type,provider,address,city,state,zip_code,phone,website,hours,eligibility_requirements,notes,latitude,longitude
Angel House Soup Kitchen,congregate_meal;faith_based,Austin Baptist Chapel,908 E Cesar Chavez St,Austin,TX,,512-643-2327,https://www.austinbaptistchapel.com,Daily breakfast 9:30-10:00; daily lunch 11:00-12:30,Anyone in need; no ID required,Soup kitchen ministry providing hot breakfast and lunch every day; also offers limited clothing and basic support.,30.26086,-97.7348168
Caritas Community Kitchen,congregate_meal;faith_affiliated,Caritas of Austin,611 Neches St,Austin,TX,,512-479-4610,https://caritasofaustin.org/what-we-do/food/,Mon-Fri lunch 11:00-12:30,Anyone in need; some pantry services for enrolled clients,Downtown community kitchen serving free hot lunches on weekdays; additional food support for Caritas clients.,30.2674898,-97.7377199
Trinity Center Meals,congregate_meal;faith_based,Trinity Center Austin,304 E 7th St,Austin,TX,,512-610-3520,https://www.trinitycenteraustin.org,Mon-Fri breakfast 9:00-9:30; Sun lunch 3:00-3:30,Adults experiencing homelessness or deep poverty,Downtown day center providing weekday to-go breakfast and Sunday afternoon lunch.,30.2682212,-97.7391457
Community of Christ Breakfast,congregate_meal;faith_based,Community of Christ Austin,2132 Bluebonnet Ln,Austin,TX,,512-444-7120,,Sun breakfast 8:00-9:00,Anyone in need,Weekly Sunday morning breakfast hosted by Community of Christ church.,30.2494445,-97.7759789
Feed My People Breakfast at First United Methodist Church,congregate_meal;faith_based,Foundation for the Homeless & First United Methodist Church,1300 Lavaca St,Austin,TX,,512-453-6570,https://www.foundationhomeless.org,Tue & Thu breakfast roughly 5:30-8:00,Primarily adults experiencing homelessness,"Early morning hot breakfast twice weekly with additional services such as showers, AA meetings, clothing closet, and haircuts on some days.",30.2760416,-97.7427909
Micah 6 Street Youth Drop-in Center Meal,congregate_meal;faith_affiliated;youth,Micah 6 of Austin / University Baptist Church,2107 San Antonio St,Austin,TX,,,,Sat 13:00-16:00,Street-involved and at-risk youth,"Youth drop-in center including a healthy meal, fellowship space, computer lab, and educational/self-care programs.",30.2840791,-97.7429054
St. Andrew's Presbyterian Church Community Meal,congregate_meal;faith_based;hygiene,St. Andrew's Presbyterian Church,14311 Wells Port Dr,Austin,TX,,512-251-0698,,Thu dinner 17:30-19:30,Anyone in need,Weekly Thursday night dinner with shower and laundry facilities available; also operates a food pantry and diaper bank on some Saturdays.,30.4368264,-97.6748591
University Baptist Church Gods Family Dinner,congregate_meal;faith_based,University Baptist Church,2130 Guadalupe St,Austin,TX,,512-478-8559,,Thu dinner 17:00-18:00,Anyone in need,Weekly 'God's Family Dinner' in the church fellowship space.,30.2847963,-97.742213
University United Methodist Church Open Door Meal,congregate_meal;faith_based;clothing,University United Methodist Church,2409 Guadalupe St,Austin,TX,,512-478-9387,,Sat brunch 8:00-9:30,Anyone in need,Open Door Ministry brunch with clothing and toiletries available.,30.2879165,-97.7412197
Central Presbyterian Church Meals,congregate_meal;faith_based,Central Presbyterian Church,200 E 8th St,Austin,TX,,512-472-2445,,Tue women lunch 12:00; Thu hot breakfast 8:30-11:30,Anyone in need; women-focused lunch on Tuesdays,Downtown church offering weekly hot breakfast and a women-only lunch program.,30.2697913,-97.7401368
Home Cooked Fridays Meal,congregate_meal;faith_based,Home Cooked Fridays / All Saints' Episcopal Church,209 W 27th St,Austin,TX,,512-476-3589,,Fri 16:00,Anyone in need,Weekly free prepared meal on Friday afternoons at All Saints' Episcopal Church.,30.2914625,-97.7393352
All Saints' Episcopal Church Tuesday Breakfast,congregate_meal;faith_based,All Saints' Episcopal Church,209 W 27th St,Austin,TX,,512-476-3589,,Tue breakfast 8:00,Anyone in need,Weekly Tuesday morning breakfast; same campus as Home Cooked Fridays program.,30.2914625,-97.7393352
Olivet Baptist Church Helping Hands Food Giveaway,food_distribution;faith_based,Olivet Baptist Church,1161 San Bernard St,Austin,TX,,512-472-2298,,2nd & 4th Sat 9:00-12:00,Anyone in need; may be limited by household,Helping Hands Center operates a twice-monthly food giveaway; not a sit-down meal but an important church-based food resource.,30.269649,-97.725419
Mobile Loaves & Fishes Meal Trucks,congregate_meal;faith_based;mobile,Mobile Loaves & Fishes,,Austin,TX,,512-328-7299,https://mlf.org,7 days a week; schedule varies by route,Anyone in need; served at truck stops around Austin,"Fleet of volunteer-driven trucks providing meals, clothing, and hygiene items at multiple sites citywide; check website or daily schedule for locations.",,
Food Not Bombs Community Meals,congregate_meal;secular,Austin Food Not Bombs,,Austin,TX,,575-770-3377,,Sat & Sun dinner 17:00,Anyone in need,Volunteer collective providing free vegan meals at rotating outdoor locations; schedule and locations vary.,,
Sunrise Homeless Navigation Center Meals,congregate_meal;faith_based;day_center,Sunrise Homeless Navigation Center,4430 Menchaca Rd,Austin,TX,,512-522-1097,https://sunrisenavigationcenter.org,Mon-Fri 9:00-13:00 with meals offered throughout the day,People experiencing homelessness in the Austin metro area,"South Austin day center providing meals along with coordinated entry, showers, mail, and other services.",30.22878,-97.7894867
